name,band,followers,band_followers,follower_difference
Myracle Holloway,Jade,265,22.1k,−21.9k
Carnie Wilson,Wilson Phillips,212,350k,−350k
Chynna Phillips,Wilson Phillips,765,350k,−349k
Bernadette Cooper,Klymaxx,81.0,179k,−179k
Joyce Irby,Klymaxx,217,179k,−179k
Nicci Gilbert,Brownstone,377,291k,−291k
Siobhan Fahey,Bananarama,825,485k,−484k
Gioia Bruno,Exposé,104,172k,−172k
Kelly Moneymaker,Exposé,139,172k,−172k
Kandi,Xscape,119k,1.03M,−910k
Tamika Scott,Xscape,757,1.03M,−1.03M
Shaznay Lewis,All Saints,8.06k,359k,−351k
Mutya Buena,The Sugababes,25.7k,476k,−450k
Siobhan Donaghy,The Sugababes,13.5k,476k,−462k
HA:TFELT,Wonder Girls,67.9k,400k,−332k
SUNMI,Wonder Girls,2.04M,400k,1.64M
HyunA,Wonder Girls,1.24M,400k,836k
Yubin,Wonder Girls,131k,400k,−269k
Aubrey O'Day,Danity Kane,17.5k,453k,−435k
Dawn Richard,Danity Kane,72.9k,453k,−380k
Shannon Bex,Danity Kane,204,453k,−453k
D. Woods,Danity Kane,867,453k,−452k
Pamela Long,Total,142,340k,−340k
